"filename", "language", "XML", "Java Properties", "Markdown", "HTML", "CSS", "JavaScript", "JSON", "Java", "Python", "XSL", "Shell Script", "Batch", "Ini", "Log", "comment", "blank", "total"
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\conf\tomcat-users.xml", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 52
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\conf\web.xml", "XML", 4090, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 598, 47, 4735
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\ROOT\WEB-INF\web.xml", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\WEB-INF\classes\controlador\ActualizarDBDAO.class", "Java", 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 58
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\WEB-INF\classes\controlador\BorrarDBDAO.class", "Java", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 25
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\WEB-INF\classes\controlador\ConnectionDAO.class", "Java", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 17
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\WEB-INF\classes\controlador\ConvertJson.class", "Java", 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 72
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\WEB-INF\classes\controlador\IntroducirDBDAO.class", "Java", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 53
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\WEB-INF\classes\controlador\RecuperarDBDAO.class", "Java", 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 68
"c:\Users\Pc\Documents\1DAW\DAW-private\2PI\version2\.metadata\.plugins\org.eclipse.wst.server.core\tmp0\wtpwebapps\concesionario\WEB-INF\classes\controlador\Requests.class", "Java", 0, 0, 0, 0, 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 119
